,tiempo
966,122.0
967,122.0
968,122.0
969,122.0
970,122.0
971,121.0
972,121.0
973,122.0
974,122.0
975,122.0
976,121.0
977,122.0
978,121.0
979,122.0
980,121.0
981,121.0
982,121.0
983,122.0
984,121.0
985,121.0
986,122.0
987,121.0
988,121.0
989,122.0
990,122.0
991,121.0
992,122.0
993,122.0
994,121.0
995,121.0
996,121.0
997,123.0
998,121.0
999,122.0
1000,121.0
1001,122.0
1002,122.0
1003,123.0
1004,122.0
1005,121.0
1006,121.0
1007,122.0
1008,123.0
1009,123.0
1010,122.0
1011,122.0
1012,123.0
1013,122.0
1014,123.0
1015,123.0
1016,123.0
1017,122.0
1018,122.0
1019,122.0
1020,122.0
1021,122.0
1022,123.0
1023,123.0
1024,122.0
1025,122.0
1026,122.0
1027,122.0
1028,122.0
1029,123.0
1030,123.0
1031,122.0
1032,123.0
1033,123.0
1034,123.0
1035,123.0
1036,123.0
1037,123.0
1038,122.0
1039,123.0
1040,123.0
1041,122.0
1042,123.0
1043,122.0
1044,123.0
1045,124.0
1046,124.0
1047,123.0
1048,124.0
1049,123.0
1050,123.0
1051,123.0
1052,124.0
1053,122.0
1054,124.0
1055,123.0
1056,124.0
1057,124.0
1058,123.0
1059,123.0
1060,123.0
1061,123.0
1062,124.0
1063,123.0
1064,124.0
1065,124.0
1066,124.0
1067,124.0
1068,123.0
1069,124.0
1070,123.0
1071,123.0
1072,124.0
1073,124.0
1074,123.0
1075,124.0
1076,124.0
1077,123.0
1078,123.0
1079,124.0
1080,123.0
1081,125.0
1082,124.0
1083,124.0
1084,124.0
1085,125.0
1086,123.0
1087,124.0
1088,124.0
1089,124.0
1090,124.0
1091,125.0
1092,124.0
1093,125.0
1094,125.0
1095,125.0
1096,125.0
1097,124.0
1098,124.0
1099,125.0
1100,124.0
1101,125.0
1102,125.0
1103,125.0
1104,124.0
1105,125.0
1106,125.0
1107,124.0
1108,125.0
1109,125.0
1110,124.0
1111,125.0
1112,125.0
1113,125.0
1114,124.0
1115,124.0
1116,125.0
1117,126.0
1118,126.0
1119,124.0
1120,125.0
1121,124.0
1122,125.0
1123,126.0
1124,126.0
1125,125.0
1126,125.0
1127,125.0
1128,126.0
1129,126.0
1130,125.0
1131,126.0
1132,125.0
1133,125.0
1134,126.0
1135,126.0
1136,125.0
1137,126.0
1138,125.0
1139,125.0
1140,126.0
1141,126.0
1142,126.0
1143,125.0
1144,126.0
1145,125.0
1146,126.0
1147,126.0
1148,125.0
1149,125.0
1150,125.0
1151,126.0
1152,127.0
1153,125.0
1154,125.0
1155,126.0
1156,126.0
1157,126.0
1158,126.0
1159,127.0
1160,126.0
1161,125.0
1162,126.0
1163,125.0
1164,127.0
1165,127.0
1166,127.0
1167,126.0
1168,126.0
1169,127.0
1170,127.0
1171,126.0
1172,127.0
1173,126.0
1174,126.0
1175,127.0
1176,127.0
1177,126.0
1178,126.0
1179,126.0
1180,126.0
1181,127.0
1182,127.0
1183,126.0
1184,127.0
1185,126.0
1186,126.0
1187,126.0
1188,126.0
1189,127.0
1190,127.0
1191,126.0
1192,126.0
1193,127.0
1194,126.0
1195,126.0
1196,126.0
1197,126.0
1198,127.0
1199,126.0
1200,128.0
1201,127.0
1202,127.0
1203,126.0
1204,126.0
1205,126.0
1206,127.0
1207,127.0
1208,127.0
1209,127.0
1210,127.0
1211,127.0
1212,127.0
1213,128.0
1214,127.0
1215,128.0
1216,127.0
1217,128.0
1218,128.0
1219,128.0
1220,128.0
1221,127.0
1222,128.0
1223,127.0
1224,127.0
1225,127.0
1226,127.0
1227,127.0
1228,128.0
1229,127.0
1230,127.0
1231,128.0
1232,128.0
1233,127.0
1234,127.0
1235,128.0
1236,127.0
1237,128.0
1238,127.0
1239,128.0
1240,128.0
1241,127.0
1242,127.0
1243,128.0
1244,127.0
1245,127.0
1246,127.0
1247,128.0
1248,128.0
1249,128.0
1250,127.0
1251,128.0
1252,128.0
1253,128.0
1254,127.0
1255,127.0
1256,128.0
1257,127.0
1258,128.0
1259,128.0
1260,128.0
1261,128.0
1262,129.0
1263,129.0
1264,128.0
1265,129.0
1266,128.0
1267,128.0
1268,128.0
1269,128.0
1270,127.0
1271,129.0
1272,128.0
1273,128.0
1274,129.0
1275,129.0
1276,128.0
1277,128.0
1278,128.0
1279,129.0
1280,129.0
1281,129.0
1282,128.0
1283,129.0
1284,128.0
1285,129.0
1286,129.0
1287,129.0
1288,129.0
1289,128.0
1290,128.0
1291,128.0
1292,128.0
1293,129.0
1294,129.0
1295,129.0
1296,128.0
1297,129.0
1298,129.0
1299,129.0
1300,128.0
1301,128.0
1302,129.0
1303,128.0
1304,128.0
1305,129.0
1306,128.0
1307,128.0
1308,128.0
1309,129.0
1310,129.0
1311,128.0
1312,129.0
1313,128.0
1314,128.0
1315,128.0
1316,129.0
1317,129.0
1318,128.0
1319,128.0
1320,129.0
1321,130.0
1322,129.0
1323,128.0
1324,129.0
1325,129.0
1326,130.0
1327,129.0
1328,129.0
1329,129.0
1330,128.0
1331,130.0
1332,129.0
1333,130.0
1334,130.0
1335,129.0
1336,130.0
1337,130.0
1338,130.0
1339,129.0
1340,129.0
1341,129.0
1342,130.0
1343,129.0
1344,130.0
1345,130.0
1346,129.0
1347,129.0
1348,129.0
1349,129.0
1350,129.0
1351,129.0
1352,130.0
1353,129.0
1354,129.0
1355,130.0
1356,129.0
1357,130.0
1358,129.0
1359,129.0
1360,129.0
1361,130.0
1362,129.0
1363,129.0
1364,129.0
1365,129.0
1366,129.0
1367,130.0
1368,130.0
1369,129.0
1370,130.0
1371,130.0
1372,130.0
1373,129.0
1374,130.0
1375,130.0
1376,130.0
1377,129.0
1378,129.0
1379,129.0
1380,131.0
1381,130.0
1382,130.0
1383,131.0
1384,130.0
1385,130.0
1386,131.0
1387,130.0
1388,130.0
1389,130.0
1390,130.0
1391,130.0
1392,131.0
1393,131.0
1394,130.0
1395,130.0
1396,130.0
1397,131.0
1398,130.0
1399,130.0
1400,130.0
1401,130.0
1402,130.0
1403,131.0
1404,131.0
1405,131.0
1406,131.0
1407,130.0
1408,131.0
1409,131.0
1410,131.0
1411,130.0
1412,131.0
1413,131.0
1414,130.0
1415,131.0
1416,131.0
1417,130.0
1418,130.0
1419,130.0
1420,131.0
1421,131.0
1422,131.0
1423,131.0
1424,131.0
1425,131.0
1426,130.0
1427,131.0
1428,132.0
1429,132.0
1430,130.0
1431,132.0
1432,132.0
1433,131.0
1434,131.0
1435,132.0
1436,132.0
1437,130.0
1438,131.0
1439,131.0
1440,131.0
1441,132.0
1442,131.0
1443,132.0
1444,131.0
1445,131.0
1446,132.0
1447,132.0
1448,131.0
1449,132.0
1450,132.0
1451,132.0
1452,131.0
1453,131.0
1454,131.0
1455,132.0
1456,132.0
1457,131.0
1458,131.0
1459,132.0
1460,132.0
1461,131.0
1462,131.0
1463,132.0
1464,132.0
1465,132.0
1466,131.0
1467,131.0
1468,132.0
1469,131.0
1470,132.0
1471,131.0
1472,131.0
1473,131.0
1474,132.0
1475,131.0
1476,133.0
1477,132.0
1478,132.0
1479,132.0
1480,132.0
1481,132.0
1482,133.0
1483,132.0
1484,132.0
1485,133.0
1486,133.0
1487,133.0
1488,132.0
1489,132.0
1490,133.0
1491,133.0
1492,133.0
1493,133.0
1494,132.0
1495,132.0
1496,132.0
1497,133.0
1498,132.0
1499,132.0
1500,133.0
1501,132.0
1502,133.0
1503,133.0
1504,132.0
1505,133.0
1506,132.0
1507,133.0
1508,133.0
1509,132.0
1510,133.0
1511,133.0
1512,134.0
1513,133.0
1514,134.0
1515,132.0
1516,133.0
1517,133.0
1518,134.0
1519,133.0
1520,133.0
1521,134.0
1522,134.0
1523,132.0
1524,134.0
1525,134.0
1526,134.0
1527,134.0
1528,134.0
1529,133.0
1530,133.0
1531,133.0
1532,134.0
1533,133.0
1534,134.0
1535,133.0
1536,133.0
1537,134.0
1538,134.0
1539,134.0
1540,133.0
1541,134.0
1542,133.0
1543,134.0
1544,134.0
1545,133.0
1546,134.0
1547,133.0
1548,134.0
1549,134.0
1550,134.0
1551,134.0
1552,134.0
1553,134.0
1554,134.0
1555,133.0
1556,134.0
1557,134.0
1558,133.0
1559,134.0
1560,133.0
1561,133.0
1562,134.0
1563,133.0
1564,134.0
1565,133.0
1566,134.0
1567,133.0
1568,134.0
1569,133.0
1570,133.0
1571,134.0
1572,133.0
1573,134.0
1574,133.0
1575,135.0
1576,134.0
1577,134.0
1578,133.0
1579,134.0
1580,135.0
1581,135.0
1582,134.0
1583,134.0
1584,135.0
1585,135.0
1586,134.0
1587,134.0
1588,134.0
1589,134.0
1590,135.0
1591,134.0
1592,135.0
1593,135.0
1594,134.0
1595,135.0
1596,134.0
1597,134.0
1598,135.0
1599,134.0
1600,135.0
1601,135.0
1602,134.0
1603,135.0
1604,135.0
1605,134.0
1606,135.0
1607,134.0
1608,134.0
1609,135.0
1610,135.0
1611,135.0
1612,134.0
1613,134.0
1614,134.0
1615,135.0
1616,134.0
1617,135.0
1618,134.0
1619,135.0
1620,135.0
1621,134.0
1622,135.0
1623,134.0
1624,135.0
1625,135.0
1626,134.0
1627,134.0
1628,134.0
1629,134.0
1630,134.0
1631,134.0
1632,135.0
1633,134.0
1634,134.0
1635,135.0
1636,135.0
1637,135.0
1638,134.0
1639,134.0
1640,135.0
1641,134.0
1642,134.0
1643,135.0
1644,136.0
1645,136.0
1646,136.0
1647,136.0
1648,136.0
1649,136.0
1650,135.0
1651,136.0
1652,136.0
1653,135.0
1654,135.0
1655,135.0
1656,136.0
1657,136.0
1658,135.0
1659,135.0
1660,135.0
1661,136.0
1662,135.0
1663,135.0
1664,136.0
1665,136.0
1666,136.0
1667,135.0
1668,135.0
1669,135.0
1670,136.0
1671,135.0
1672,135.0
1673,135.0
1674,135.0
1675,135.0
1676,135.0
1677,136.0
1678,136.0
1679,135.0
1680,135.0
1681,136.0
1682,135.0
1683,136.0
1684,135.0
1685,135.0
1686,136.0
1687,135.0
1688,135.0
1689,135.0
1690,136.0
1691,135.0
1692,135.0
1693,135.0
1694,136.0
1695,136.0
1696,135.0
1697,136.0
1698,135.0
1699,135.0
1700,136.0
1701,136.0
1702,136.0
1703,136.0
1704,135.0
1705,135.0
1706,136.0
1707,135.0
1708,135.0
1709,135.0
1710,136.0
1711,135.0
1712,136.0
1713,135.0
1714,136.0
1715,135.0
1716,136.0
1717,136.0
1718,136.0
1719,136.0
1720,137.0
1721,137.0
1722,137.0
1723,136.0
1724,137.0
1725,136.0
1726,136.0
1727,136.0
1728,136.0
1729,137.0
1730,136.0
1731,137.0
1732,137.0
1733,136.0
1734,137.0
1735,136.0
1736,136.0
1737,136.0
1738,137.0
1739,136.0
1740,137.0
1741,137.0
1742,136.0
1743,136.0
1744,136.0
1745,136.0
1746,137.0
1747,136.0
1748,137.0
1749,136.0
1750,136.0
1751,137.0
1752,136.0
1753,136.0
1754,136.0
1755,137.0
1756,136.0
1757,137.0
1758,136.0
1759,136.0
1760,136.0
1761,137.0
1762,137.0
1763,137.0
1764,137.0
1765,137.0
1766,137.0
1767,136.0
1768,136.0
1769,136.0
1770,136.0
1771,136.0
1772,137.0
1773,137.0
1774,137.0
1775,136.0
1776,138.0
1777,137.0
1778,136.0
1779,136.0
1780,138.0
1781,137.0
1782,137.0
1783,137.0
1784,138.0
1785,137.0
1786,137.0
1787,138.0
1788,137.0
1789,138.0
1790,137.0
1791,137.0
1792,137.0
1793,137.0
1794,138.0
1795,138.0
1796,137.0
1797,137.0
1798,138.0
1799,138.0
1800,137.0
1801,137.0
1802,137.0
1803,138.0
1804,137.0
1805,138.0
1806,138.0
1807,138.0
1808,138.0
1809,138.0
1810,137.0
1811,138.0
1812,137.0
1813,137.0
1814,137.0
1815,138.0
1816,138.0
1817,138.0
1818,137.0
1819,137.0
1820,138.0
1821,137.0
1822,137.0
1823,138.0
1824,137.0
1825,137.0
1826,138.0
1827,137.0
1828,138.0
1829,137.0
1830,137.0
1831,137.0
1832,137.0
1833,138.0
1834,137.0
1835,137.0
1836,138.0
1837,139.0
1838,138.0
1839,139.0
1840,139.0
1841,138.0
1842,138.0
1843,138.0
1844,138.0
1845,139.0
1846,138.0
1847,139.0
1848,139.0
1849,139.0
1850,139.0
1851,139.0
1852,138.0
1853,138.0
1854,138.0
1855,138.0
1856,138.0
1857,138.0
1858,138.0
1859,138.0
1860,139.0
1861,139.0
1862,139.0
1863,138.0
1864,138.0
1865,139.0
1866,138.0
1867,138.0
1868,139.0
1869,138.0
1870,138.0
1871,138.0
1872,139.0
1873,139.0
1874,139.0
1875,139.0
1876,140.0
1877,140.0
1878,140.0
1879,140.0
1880,140.0
1881,139.0
1882,139.0
1883,140.0
1884,139.0
1885,139.0
1886,139.0
1887,140.0
1888,139.0
1889,139.0
1890,140.0
1891,139.0
1892,139.0
1893,140.0
1894,139.0
1895,140.0
1896,139.0
1897,139.0
1898,140.0
1899,140.0
1900,139.0
1901,139.0
1902,139.0
1903,140.0
1904,139.0
1905,139.0
1906,139.0
1907,139.0
1908,139.0
1909,140.0
1910,140.0
1911,140.0
1912,140.0
1913,141.0
1914,139.0
1915,140.0
1916,139.0
1917,140.0
1918,140.0
1919,140.0
1920,140.0
1921,140.0
1922,141.0
1923,141.0
1924,141.0
1925,140.0
1926,140.0
1927,141.0
1928,140.0
1929,140.0
1930,140.0
1931,140.0
1932,140.0
1933,141.0
1934,140.0
1935,140.0
1936,141.0
1937,141.0
1938,140.0
1939,140.0
1940,140.0
1941,141.0
1942,140.0
1943,141.0
1944,140.0
1945,140.0
1946,141.0
1947,140.0
1948,141.0
1949,141.0
1950,140.0
1951,141.0
1952,140.0
1953,140.0
1954,141.0
1955,141.0
1956,141.0
1957,140.0
1958,140.0
1959,141.0
1960,141.0
1961,140.0
1962,140.0
1963,141.0
1964,140.0
1965,141.0
1966,141.0
1967,140.0
1968,142.0
1969,142.0
1970,141.0
1971,142.0
1972,141.0
1973,142.0
1974,141.0
1975,141.0
1976,140.0
1977,141.0
1978,141.0
1979,141.0
1980,142.0
1981,142.0
1982,142.0
1983,142.0
1984,141.0
1985,142.0
1986,141.0
1987,141.0
1988,141.0
1989,142.0
1990,141.0
1991,142.0
1992,141.0
1993,142.0
1994,141.0
1995,141.0
1996,141.0
1997,141.0
1998,141.0
1999,142.0
2000,141.0
2001,141.0
2002,141.0
2003,141.0
2004,142.0
2005,141.0
2006,141.0
2007,142.0
2008,141.0
2009,141.0
2010,141.0
2011,141.0
2012,141.0
2013,142.0
2014,142.0
2015,142.0
2016,142.0
2017,142.0
2018,141.0
2019,141.0
2020,142.0
2021,142.0
2022,142.0
2023,142.0
2024,141.0
2025,142.0
2026,141.0
2027,142.0
2028,142.0
2029,141.0
2030,142.0
2031,143.0
2032,142.0
2033,143.0
2034,142.0
2035,141.0
2036,142.0
2037,142.0
2038,142.0
2039,143.0
2040,143.0
2041,143.0
2042,142.0
2043,142.0
2044,142.0
2045,142.0
2046,142.0
2047,142.0
2048,142.0
2049,143.0
2050,143.0
2051,143.0
2052,142.0
2053,142.0
2054,142.0
2055,143.0
2056,142.0
2057,143.0
2058,143.0
2059,143.0
2060,142.0
2061,143.0
2062,143.0
2063,142.0
2064,143.0
2065,142.0
2066,142.0
2067,143.0
2068,142.0
2069,143.0
2070,142.0
2071,142.0
2072,143.0
2073,142.0
2074,142.0
2075,143.0
2076,143.0
2077,142.0
2078,142.0
2079,143.0
2080,143.0
2081,143.0
2082,142.0
2083,143.0
2084,142.0
2085,143.0
2086,142.0
2087,143.0
2088,142.0
2089,143.0
2090,143.0
2091,142.0
2092,143.0
2093,142.0
2094,143.0
2095,143.0
2096,143.0
2097,143.0
2098,143.0
2099,142.0
2100,144.0
2101,143.0
2102,144.0
2103,143.0
2104,144.0
2105,142.0
2106,144.0
2107,143.0
2108,143.0
2109,143.0
2110,143.0
2111,143.0
2112,144.0
2113,143.0
2114,144.0
2115,144.0
2116,143.0
2117,143.0
2118,144.0
2119,144.0
2120,144.0
2121,144.0
2122,144.0
2123,143.0
2124,143.0
2125,144.0
2126,143.0
2127,144.0
2128,144.0
2129,143.0
2130,144.0
2131,143.0
2132,143.0
2133,143.0
2134,143.0
2135,144.0
2136,144.0
2137,143.0
2138,143.0
2139,143.0
