,tiempo
668,95.0
669,96.0
670,96.0
671,95.0
672,96.0
673,96.0
674,96.0
675,96.0
676,96.0
677,95.0
678,96.0
679,95.0
680,96.0
681,96.0
682,95.0
683,95.0
684,96.0
685,96.0
686,96.0
687,96.0
688,96.0
689,96.0
690,97.0
691,96.0
692,97.0
693,97.0
694,96.0
695,97.0
696,96.0
697,97.0
698,97.0
699,97.0
700,96.0
701,96.0
702,96.0
703,97.0
704,97.0
705,97.0
706,96.0
707,96.0
708,96.0
709,96.0
710,97.0
711,95.0
712,97.0
713,96.0
714,97.0
715,96.0
716,97.0
717,97.0
718,96.0
719,96.0
720,98.0
721,98.0
722,98.0
723,98.0
724,98.0
725,97.0
726,97.0
727,98.0
728,98.0
729,98.0
730,97.0
731,98.0
732,97.0
733,97.0
734,98.0
735,97.0
736,97.0
737,97.0
738,98.0
739,97.0
740,97.0
741,98.0
742,98.0
743,97.0
744,98.0
745,97.0
746,98.0
747,97.0
748,97.0
749,97.0
750,98.0
751,98.0
752,99.0
753,99.0
754,98.0
755,99.0
756,98.0
757,98.0
758,97.0
759,99.0
760,98.0
761,99.0
762,99.0
763,98.0
764,99.0
765,99.0
766,98.0
767,98.0
768,99.0
769,99.0
770,98.0
771,98.0
772,99.0
773,98.0
774,98.0
775,98.0
776,99.0
777,98.0
778,99.0
779,98.0
780,100.0
781,99.0
782,98.0
783,98.0
784,99.0
785,98.0
786,99.0
787,99.0
788,99.0
789,98.0
790,100.0
791,98.0
792,100.0
793,99.0
794,98.0
795,99.0
796,99.0
797,98.0
798,100.0
799,99.0
800,98.0
801,99.0
802,100.0
803,99.0
804,100.0
805,99.0
806,99.0
807,99.0
808,99.0
809,99.0
810,100.0
811,100.0
812,100.0
813,100.0
814,99.0
815,100.0
816,100.0
817,99.0
818,100.0
819,99.0
820,99.0
821,99.0
822,100.0
823,100.0
824,99.0
825,99.0
826,99.0
827,100.0
828,99.0
829,100.0
830,100.0
831,100.0
832,99.0
833,99.0
834,99.0
835,99.0
836,100.0
837,100.0
838,99.0
839,99.0
840,101.0
841,100.0
842,99.0
843,100.0
844,99.0
845,100.0
846,99.0
847,100.0
848,101.0
849,101.0
850,101.0
851,100.0
852,99.0
853,99.0
854,100.0
855,100.0
856,100.0
857,100.0
858,99.0
859,99.0
860,100.0
861,101.0
862,101.0
863,100.0
864,100.0
865,99.0
866,101.0
867,100.0
868,101.0
869,100.0
870,100.0
871,100.0
872,101.0
873,101.0
874,101.0
875,100.0
876,100.0
877,100.0
878,101.0
879,100.0
880,100.0
881,100.0
882,101.0
883,100.0
884,101.0
885,100.0
886,101.0
887,100.0
888,100.0
889,101.0
890,101.0
891,100.0
892,101.0
893,100.0
894,101.0
895,101.0
896,100.0
897,101.0
898,101.0
899,100.0
900,101.0
901,102.0
902,101.0
903,101.0
904,101.0
905,102.0
906,101.0
907,101.0
908,101.0
909,101.0
910,101.0
911,102.0
912,101.0
913,101.0
914,102.0
915,101.0
916,102.0
917,101.0
918,101.0
919,102.0
920,101.0
921,101.0
922,101.0
923,102.0
924,101.0
925,101.0
926,101.0
927,102.0
928,100.0
929,102.0
930,101.0
931,102.0
932,102.0
933,102.0
934,102.0
935,102.0
936,102.0
937,101.0
938,101.0
939,101.0
940,102.0
941,101.0
942,101.0
943,101.0
944,101.0
945,102.0
946,101.0
947,102.0
948,101.0
949,102.0
950,102.0
951,102.0
952,102.0
953,101.0
954,102.0
955,101.0
956,101.0
957,101.0
958,101.0
959,101.0
960,103.0
961,101.0
962,102.0
963,102.0
964,101.0
965,102.0
966,102.0
967,102.0
968,101.0
969,101.0
970,102.0
971,102.0
972,102.0
973,101.0
974,102.0
975,101.0
976,102.0
977,102.0
978,102.0
979,102.0
980,103.0
981,103.0
982,102.0
983,102.0
984,101.0
985,101.0
986,102.0
987,103.0
988,101.0
989,102.0
990,102.0
991,102.0
992,102.0
993,103.0
994,102.0
995,103.0
996,102.0
997,103.0
998,102.0
999,102.0
1000,103.0
1001,102.0
1002,102.0
1003,102.0
1004,103.0
1005,103.0
1006,102.0
1007,103.0
1008,103.0
1009,102.0
1010,103.0
1011,102.0
1012,103.0
1013,102.0
1014,102.0
1015,102.0
1016,103.0
1017,102.0
1018,103.0
1019,102.0
1020,103.0
1021,103.0
1022,102.0
1023,102.0
1024,102.0
1025,103.0
1026,103.0
1027,102.0
1028,102.0
1029,102.0
1030,102.0
1031,103.0
1032,102.0
1033,103.0
1034,103.0
1035,103.0
1036,103.0
1037,102.0
1038,102.0
1039,103.0
1040,102.0
1041,102.0
1042,102.0
1043,102.0
1044,103.0
1045,103.0
1046,103.0
1047,104.0
1048,103.0
1049,102.0
1050,103.0
1051,104.0
1052,103.0
1053,103.0
1054,104.0
1055,104.0
1056,103.0
1057,104.0
1058,103.0
1059,103.0
1060,103.0
1061,103.0
1062,103.0
1063,103.0
1064,104.0
1065,104.0
1066,103.0
1067,103.0
1068,104.0
1069,103.0
1070,104.0
1071,104.0
1072,103.0
1073,104.0
1074,104.0
1075,103.0
1076,104.0
1077,103.0
1078,103.0
1079,103.0
1080,103.0
1081,103.0
1082,105.0
1083,104.0
1084,104.0
1085,105.0
1086,103.0
1087,104.0
1088,104.0
1089,103.0
1090,103.0
1091,104.0
1092,104.0
1093,103.0
1094,104.0
1095,104.0
1096,104.0
1097,105.0
1098,103.0
1099,104.0
1100,103.0
1101,104.0
1102,103.0
1103,104.0
1104,104.0
1105,103.0
1106,104.0
1107,104.0
1108,104.0
1109,104.0
1110,104.0
1111,105.0
1112,104.0
1113,105.0
1114,105.0
1115,104.0
1116,105.0
1117,105.0
1118,104.0
1119,104.0
1120,105.0
1121,105.0
1122,105.0
1123,104.0
1124,104.0
1125,104.0
1126,105.0
1127,105.0
1128,104.0
1129,104.0
1130,104.0
1131,105.0
1132,105.0
1133,105.0
1134,105.0
1135,105.0
1136,105.0
1137,105.0
1138,104.0
1139,105.0
1140,105.0
1141,105.0
1142,105.0
1143,105.0
1144,105.0
1145,104.0
1146,105.0
1147,105.0
1148,104.0
1149,105.0
1150,105.0
1151,104.0
1152,104.0
1153,105.0
1154,106.0
1155,106.0
1156,105.0
1157,105.0
1158,106.0
1159,105.0
1160,105.0
1161,105.0
1162,105.0
1163,105.0
1164,106.0
1165,105.0
1166,104.0
1167,105.0
1168,105.0
1169,105.0
1170,105.0
1171,106.0
1172,105.0
1173,105.0
1174,106.0
1175,105.0
1176,105.0
1177,106.0
1178,105.0
1179,106.0
1180,106.0
1181,106.0
1182,106.0
1183,105.0
1184,106.0
1185,106.0
1186,106.0
1187,105.0
1188,105.0
1189,105.0
1190,106.0
1191,105.0
1192,105.0
1193,106.0
1194,105.0
1195,106.0
1196,106.0
1197,105.0
1198,105.0
1199,106.0
1200,106.0
1201,106.0
1202,107.0
1203,107.0
1204,106.0
1205,105.0
1206,106.0
1207,106.0
1208,106.0
1209,105.0
1210,106.0
1211,107.0
1212,106.0
1213,107.0
1214,106.0
1215,106.0
1216,105.0
1217,105.0
1218,105.0
1219,105.0
1220,105.0
1221,106.0
1222,106.0
1223,106.0
1224,105.0
1225,106.0
1226,106.0
1227,106.0
1228,105.0
1229,106.0
1230,106.0
1231,107.0
1232,107.0
1233,106.0
1234,107.0
1235,106.0
1236,107.0
1237,106.0
1238,106.0
1239,106.0
1240,107.0
1241,107.0
1242,107.0
1243,106.0
1244,106.0
1245,107.0
1246,107.0
1247,107.0
1248,107.0
1249,107.0
1250,106.0
1251,106.0
1252,107.0
1253,107.0
1254,107.0
1255,107.0
1256,107.0
1257,106.0
1258,107.0
1259,107.0
1260,107.0
1261,106.0
1262,107.0
1263,107.0
1264,106.0
1265,107.0
1266,107.0
1267,108.0
1268,106.0
1269,107.0
1270,107.0
1271,106.0
1272,107.0
1273,107.0
1274,107.0
1275,106.0
1276,106.0
1277,107.0
1278,106.0
1279,107.0
1280,107.0
1281,106.0
1282,106.0
1283,107.0
1284,106.0
1285,106.0
1286,106.0
1287,107.0
1288,106.0
1289,106.0
1290,107.0
1291,107.0
1292,107.0
1293,108.0
1294,107.0
1295,107.0
1296,108.0
1297,108.0
1298,108.0
1299,108.0
1300,107.0
1301,108.0
1302,107.0
1303,107.0
1304,108.0
1305,107.0
1306,108.0
1307,108.0
1308,108.0
1309,107.0
1310,108.0
1311,107.0
1312,107.0
1313,108.0
1314,107.0
1315,108.0
1316,107.0
1317,108.0
1318,108.0
1319,108.0
1320,108.0
1321,107.0
1322,108.0
1323,107.0
1324,108.0
1325,108.0
1326,107.0
1327,107.0
1328,107.0
1329,107.0
1330,107.0
1331,108.0
1332,108.0
1333,107.0
1334,107.0
1335,108.0
1336,108.0
1337,108.0
1338,107.0
1339,108.0
1340,108.0
1341,108.0
1342,108.0
1343,108.0
1344,108.0
1345,108.0
1346,107.0
1347,107.0
1348,108.0
1349,107.0
1350,108.0
1351,108.0
1352,109.0
1353,109.0
1354,108.0
1355,109.0
1356,109.0
1357,108.0
1358,109.0
1359,108.0
1360,108.0
1361,109.0
1362,108.0
1363,108.0
1364,108.0
1365,109.0
1366,109.0
1367,109.0
1368,108.0
1369,109.0
1370,109.0
1371,109.0
1372,108.0
1373,108.0
1374,109.0
1375,108.0
1376,108.0
1377,109.0
1378,109.0
1379,109.0
1380,109.0
1381,108.0
1382,109.0
1383,109.0
1384,108.0
1385,108.0
1386,109.0
1387,109.0
1388,108.0
1389,108.0
1390,108.0
1391,109.0
1392,108.0
1393,109.0
1394,109.0
1395,108.0
1396,108.0
1397,109.0
1398,109.0
1399,108.0
1400,109.0
1401,108.0
1402,109.0
1403,108.0
1404,109.0
1405,108.0
1406,108.0
1407,109.0
1408,108.0
1409,108.0
1410,110.0
1411,108.0
1412,108.0
1413,109.0
1414,109.0
1415,110.0
1416,109.0
1417,110.0
1418,109.0
1419,110.0
1420,110.0
1421,109.0
1422,110.0
1423,109.0
1424,109.0
1425,108.0
1426,110.0
1427,109.0
1428,109.0
1429,109.0
1430,110.0
1431,110.0
1432,109.0
1433,110.0
1434,109.0
1435,109.0
1436,109.0
1437,109.0
1438,110.0
1439,110.0
1440,109.0
1441,109.0
1442,110.0
1443,110.0
1444,109.0
1445,110.0
1446,110.0
1447,109.0
1448,109.0
1449,110.0
1450,109.0
1451,110.0
1452,109.0
1453,110.0
1454,110.0
1455,110.0
1456,109.0
1457,110.0
1458,109.0
1459,109.0
1460,110.0
1461,110.0
1462,109.0
1463,110.0
1464,110.0
1465,109.0
1466,109.0
1467,110.0
1468,110.0
1469,109.0
1470,110.0
1471,111.0
1472,110.0
1473,111.0
1474,111.0
1475,110.0
1476,110.0
1477,111.0
1478,111.0
1479,111.0
1480,110.0
1481,111.0
1482,110.0
1483,111.0
1484,110.0
1485,110.0
1486,110.0
1487,111.0
1488,110.0
1489,109.0
1490,111.0
1491,110.0
1492,110.0
1493,111.0
1494,110.0
1495,110.0
1496,110.0
1497,111.0
1498,111.0
1499,111.0
1500,110.0
1501,111.0
1502,111.0
1503,111.0
1504,110.0
1505,111.0
1506,110.0
1507,110.0
1508,111.0
1509,111.0
1510,111.0
1511,110.0
1512,111.0
1513,111.0
1514,110.0
1515,111.0
1516,111.0
1517,111.0
1518,110.0
1519,110.0
1520,110.0
1521,110.0
1522,111.0
1523,110.0
1524,110.0
1525,111.0
1526,111.0
1527,111.0
1528,110.0
1529,111.0
1530,111.0
1531,111.0
1532,112.0
1533,112.0
1534,112.0
1535,111.0
1536,112.0
1537,111.0
1538,111.0
1539,112.0
1540,112.0
1541,112.0
1542,112.0
1543,111.0
1544,112.0
1545,111.0
1546,111.0
1547,111.0
1548,111.0
1549,112.0
1550,112.0
1551,111.0
1552,111.0
1553,111.0
1554,112.0
1555,112.0
1556,111.0
1557,112.0
1558,112.0
1559,112.0
1560,111.0
1561,112.0
1562,112.0
1563,112.0
1564,112.0
1565,111.0
1566,113.0
1567,111.0
1568,112.0
1569,112.0
1570,112.0
1571,112.0
1572,112.0
1573,111.0
1574,112.0
1575,111.0
1576,112.0
1577,112.0
1578,112.0
1579,111.0
1580,112.0
1581,112.0
1582,111.0
1583,112.0
1584,111.0
1585,113.0
1586,113.0
1587,111.0
1588,111.0
1589,111.0
1590,112.0
1591,113.0
1592,113.0
1593,113.0
1594,112.0
1595,113.0
1596,113.0
1597,112.0
1598,113.0
1599,112.0
1600,112.0
1601,112.0
1602,113.0
1603,113.0
1604,112.0
1605,112.0
1606,113.0
1607,112.0
1608,113.0
1609,113.0
1610,113.0
1611,113.0
1612,112.0
1613,113.0
1614,112.0
1615,113.0
1616,113.0
1617,113.0
1618,113.0
1619,113.0
1620,113.0
1621,113.0
1622,112.0
1623,112.0
1624,112.0
1625,113.0
1626,113.0
1627,113.0
1628,113.0
1629,112.0
1630,112.0
1631,112.0
1632,113.0
1633,113.0
1634,113.0
1635,112.0
1636,112.0
1637,113.0
1638,112.0
1639,113.0
1640,113.0
1641,112.0
1642,112.0
1643,112.0
1644,113.0
1645,112.0
1646,112.0
1647,112.0
1648,113.0
1649,112.0
1650,113.0
1651,114.0
1652,113.0
1653,113.0
1654,114.0
1655,114.0
1656,113.0
1657,113.0
1658,113.0
1659,113.0
1660,113.0
1661,113.0
1662,113.0
1663,113.0
1664,113.0
1665,112.0
1666,114.0
1667,112.0
1668,113.0
1669,114.0
1670,113.0
1671,113.0
1672,113.0
1673,114.0
1674,114.0
1675,114.0
1676,113.0
1677,113.0
1678,113.0
1679,114.0
1680,114.0
1681,114.0
1682,113.0
1683,113.0
1684,113.0
1685,113.0
1686,113.0
1687,114.0
1688,113.0
1689,113.0
1690,113.0
1691,114.0
1692,114.0
1693,114.0
1694,114.0
1695,113.0
1696,114.0
1697,114.0
1698,114.0
1699,114.0
1700,113.0
1701,113.0
1702,113.0
1703,113.0
1704,113.0
1705,114.0
1706,114.0
1707,113.0
1708,113.0
1709,114.0
1710,113.0
1711,113.0
1712,114.0
1713,114.0
1714,113.0
1715,114.0
1716,113.0
1717,114.0
1718,113.0
1719,113.0
1720,113.0
1721,113.0
1722,113.0
1723,113.0
1724,114.0
1725,114.0
1726,113.0
1727,114.0
1728,114.0
1729,114.0
1730,114.0
1731,114.0
1732,114.0
1733,114.0
1734,113.0
1735,113.0
1736,113.0
1737,113.0
1738,113.0
1739,114.0
1740,115.0
1741,115.0
1742,113.0
1743,114.0
1744,114.0
1745,114.0
1746,115.0
1747,115.0
1748,114.0
1749,114.0
1750,113.0
1751,114.0
1752,114.0
1753,115.0
1754,115.0
1755,114.0
1756,114.0
1757,115.0
1758,114.0
1759,114.0
1760,115.0
1761,113.0
1762,115.0
1763,114.0
1764,114.0
1765,114.0
1766,115.0
1767,113.0
1768,115.0
1769,113.0
1770,114.0
1771,114.0
1772,114.0
1773,114.0
1774,115.0
1775,114.0
1776,115.0
1777,114.0
1778,114.0
1779,114.0
1780,114.0
1781,114.0
1782,114.0
1783,115.0
1784,114.0
1785,114.0
1786,115.0
1787,114.0
1788,114.0
1789,115.0
1790,115.0
1791,114.0
1792,115.0
1793,114.0
1794,114.0
1795,114.0
1796,114.0
1797,114.0
1798,114.0
1799,114.0
1800,114.0
1801,115.0
1802,114.0
1803,115.0
1804,114.0
1805,114.0
1806,115.0
1807,114.0
1808,114.0
1809,115.0
1810,114.0
1811,115.0
1812,115.0
1813,114.0
1814,115.0
1815,115.0
1816,114.0
1817,114.0
1818,115.0
1819,115.0
1820,114.0
1821,115.0
1822,115.0
1823,114.0
1824,115.0
1825,115.0
1826,115.0
1827,114.0
1828,114.0
1829,114.0
1830,115.0
1831,116.0
1832,114.0
1833,115.0
1834,115.0
1835,114.0
1836,114.0
1837,115.0
1838,114.0
1839,114.0
1840,115.0
1841,115.0
1842,115.0
1843,115.0
1844,115.0
1845,115.0
1846,115.0
1847,116.0
1848,116.0
1849,116.0
1850,114.0
1851,114.0
1852,115.0
1853,114.0
1854,115.0
1855,115.0
1856,116.0
1857,116.0
1858,115.0
1859,114.0
1860,116.0
1861,115.0
1862,116.0
1863,115.0
1864,115.0
1865,116.0
1866,115.0
1867,116.0
1868,115.0
1869,116.0
1870,116.0
1871,115.0
1872,116.0
1873,115.0
1874,115.0
1875,115.0
1876,115.0
1877,115.0
1878,116.0
1879,115.0
1880,115.0
1881,116.0
1882,116.0
1883,116.0
1884,116.0
1885,116.0
1886,115.0
1887,116.0
1888,116.0
1889,115.0
1890,116.0
1891,116.0
1892,116.0
1893,116.0
1894,116.0
1895,116.0
1896,115.0
1897,115.0
1898,116.0
1899,116.0
1900,115.0
1901,116.0
1902,116.0
1903,116.0
1904,116.0
1905,115.0
1906,115.0
1907,115.0
1908,115.0
1909,115.0
1910,115.0
1911,115.0
1912,115.0
1913,115.0
1914,115.0
1915,116.0
1916,116.0
1917,115.0
1918,116.0
1919,116.0
1920,117.0
1921,116.0
1922,116.0
1923,115.0
1924,116.0
1925,115.0
1926,116.0
1927,116.0
1928,116.0
1929,115.0
1930,115.0
1931,116.0
1932,115.0
1933,116.0
1934,115.0
1935,115.0
1936,117.0
1937,117.0
1938,116.0
1939,115.0
1940,115.0
1941,117.0
1942,115.0
1943,117.0
1944,116.0
1945,117.0
1946,117.0
1947,116.0
1948,115.0
1949,115.0
1950,116.0
1951,116.0
1952,116.0
1953,116.0
1954,117.0
1955,117.0
1956,117.0
1957,116.0
1958,117.0
1959,116.0
1960,117.0
1961,116.0
1962,116.0
1963,116.0
1964,116.0
1965,117.0
1966,116.0
1967,116.0
1968,117.0
1969,116.0
1970,116.0
1971,117.0
1972,116.0
1973,116.0
1974,117.0
1975,117.0
1976,116.0
1977,117.0
1978,116.0
1979,117.0
1980,116.0
1981,117.0
1982,117.0
1983,117.0
1984,117.0
1985,117.0
1986,116.0
1987,116.0
1988,117.0
1989,117.0
1990,117.0
1991,117.0
1992,117.0
1993,116.0
1994,117.0
1995,116.0
1996,116.0
1997,116.0
1998,117.0
1999,116.0
2000,116.0
2001,117.0
2002,117.0
2003,116.0
2004,116.0
2005,116.0
2006,117.0
2007,116.0
2008,117.0
2009,117.0
2010,118.0
2011,118.0
2012,117.0
2013,118.0
2014,117.0
2015,117.0
2016,118.0
2017,116.0
2018,117.0
2019,116.0
2020,117.0
2021,118.0
2022,118.0
2023,116.0
2024,117.0
2025,117.0
2026,117.0
2027,117.0
2028,118.0
2029,117.0
2030,117.0
2031,118.0
2032,117.0
2033,117.0
2034,117.0
2035,118.0
2036,117.0
2037,117.0
2038,117.0
2039,118.0
2040,118.0
2041,118.0
2042,117.0
2043,117.0
2044,117.0
2045,117.0
2046,117.0
2047,117.0
2048,117.0
2049,117.0
2050,117.0
2051,118.0
2052,118.0
2053,117.0
2054,118.0
2055,117.0
2056,118.0
2057,118.0
2058,118.0
2059,117.0
2060,117.0
2061,118.0
2062,118.0
2063,117.0
2064,118.0
2065,118.0
2066,118.0
2067,118.0
2068,117.0
2069,117.0
2070,118.0
2071,118.0
2072,117.0
2073,117.0
2074,118.0
2075,117.0
2076,119.0
2077,118.0
2078,117.0
2079,118.0
2080,118.0
2081,117.0
2082,117.0
2083,117.0
2084,118.0
2085,117.0
2086,117.0
2087,117.0
2088,118.0
2089,117.0
2090,118.0
2091,118.0
2092,117.0
2093,118.0
2094,118.0
2095,118.0
2096,117.0
2097,117.0
2098,117.0
2099,117.0
2100,119.0
2101,119.0
2102,118.0
2103,119.0
2104,119.0
2105,119.0
2106,118.0
2107,119.0
2108,118.0
2109,118.0
2110,119.0
2111,118.0
2112,118.0
2113,118.0
2114,119.0
2115,118.0
2116,119.0
2117,119.0
2118,119.0
2119,118.0
2120,118.0
2121,119.0
2122,119.0
2123,119.0
2124,119.0
2125,118.0
2126,119.0
2127,118.0
2128,119.0
2129,118.0
2130,118.0
2131,119.0
2132,119.0
2133,119.0
2134,119.0
2135,119.0
2136,119.0
2137,119.0
2138,119.0
2139,119.0
