fecha,time,S1_1,S2_1,S3_1,S,EP1_1,EP2_1,EP3_1,E1_1,E2_1,E3_1,IP1_1_1,IP1_2_1,IP1_3_1,IP1_4_1,IP2_1_1,IP2_2_1,IP2_3_1,IP2_4_1,IP3_1_1,IP3_2_1,IP3_3_1,IP3_4_1,I1_1_1,I1_2_1,I1_3_1,I1_4_1,I2_1_1,I2_2_1,I2_3_1,I2_4_1,I3_1_1,I3_2_1,I3_3_1,I3_4_1,D1_1,D2_1,D3_1,R1_1,R2_1,R3_1,Y1_1_1,Y1_2_1,Y1_3_1,Y1_4_1,Y2_1_1,Y2_2_1,Y2_3_1,Y2_4_1,Y3_1_1,Y3_2_1,Y3_3_1,Y3_4_1,bet1,Sp,I1,I2,I3,II,D,R,IT,date
3/1/20,10,914769.4423,4078310.894,614583.7681,5607664.105,0,0,1,144.158109,642.8644968,96.8519823,59.40995561,25.46140955,0.531099532,0.163192125,285.3435293,209.2409444,1.264675898,1.122767635,39.55313317,39.55313317,0.934784303,0.560343103,26.21039427,11.23302612,0.20799102,0.063676759,195.7876373,162.1988712,1.173527263,1.073033415,31.41760508,31.41760508,0.497372612,0.342992103,0.009195809,0.930480736,0.554500353,19.10966936,386.1056114,72.54849063,39.513094,16.93418314,0.296194445,0.090481744,396.6674648,346.0242325,2.380144365,2.197319523,67.65648542,67.65648542,0.846099515,0.619495518,0.205225536,0.999686841,123.280745,857.2049864,144.2769686,1124.7627,1.494176899,477.7637714,1604.020648,3/1/20
3/2/20,11,914730.0551,4078135.295,614557.3059,5607422.656,0,0,1,156.4966775,697.8462297,105.1415945,67.62183277,28.98078547,0.607194689,0.186647396,308.1159191,221.5049267,1.262754064,1.111711699,41.69422205,41.69422205,1.032944177,0.606956753,31.95061654,13.69312137,0.255423632,0.078286998,211.2997476,170.360886,1.185163322,1.078663006,32.83016906,32.83016906,0.561228693,0.374566139,0.012601873,1.06238721,0.661770003,26.0617548,447.8770011,83.26623008,50.09243388,21.46818595,0.376134947,0.115050436,446.0732086,381.8790059,2.557500619,2.354133112,74.41920679,74.41920679,0.984266093,0.701453359,0.207572239,0.999643798,143.3739089,915.9197715,151.624478,1210.918158,1.736759087,557.204986,1769.859903,3/2/20
3/3/20,12,914689.465,4077954.332,614530.0357,5607173.833,0,0,1,167.9048502,748.6844709,112.8061244,75.9371033,32.54447284,0.68478532,0.210558344,332.62679,235.3756463,1.27541442,1.112850736,44.15287321,44.15287321,1.135669849,0.656812088,38.08000748,16.3200032,0.306726395,0.094091126,228.0725105,179.2862967,1.196029845,1.082951667,34.38095098,34.38095098,0.629909981,0.408342665,0.016737607,1.197427691,0.780383797,34.4356143,513.757176,94.47939651,62.05034053,26.59300309,0.466885652,0.142950837,499.4278447,419.9186243,2.735643035,2.510280408,81.56658148,81.56658148,1.136569067,0.790202879,0.198624803,0.99959944,164.177748,980.0284903,159.898383,1304.104621,1.994549095,642.6721868,1948.771357,3/3/20
3/4/20,13,914647.4152,4077766.862,614501.7847,5606916.062,0,0,1,178.7705931,797.1081468,120.1062253,84.25677659,36.11004711,0.762975475,0.234649821,358.2902782,250.3937839,1.300251799,1.123937413,46.8409377,46.8409377,1.241329666,0.708901149,44.54603889,19.09115952,0.361521926,0.110972075,246.1294057,189.0657625,1.207969541,1.08751608,36.09004686,36.09004686,0.703263596,0.444385045,0.021657547,1.335845416,0.911286037,44.31843625,584.0953768,106.2379508,75.39488108,32.31209189,0.568587511,0.174225727,556.968325,460.369799,2.916442565,2.667309491,89.14366525,89.14366525,1.303525475,0.886123227,0.191143694,0.999553487,185.4741414,1048.598905,168.9598486,1403.032895,2.268788999,734.6517639,2139.953448,3/4/20
3/5/20,14,914605.528,4077580.116,614473.643,5606659.287,0,0,1,187.6959376,836.8840863,126.1026782,92.43423146,39.61467063,0.840462134,0.25852131,384.3692777,266.0097952,1.334581844,1.142528763,49.65405444,49.65405444,1.347716627,0.761921446,51.28809044,21.98061019,0.419357484,0.128789772,265.3990722,199.7054475,1.222271031,1.093470559,37.96096035,37.96096035,0.780934121,0.482612561,0.027410089,1.478025594,1.055445058,55.78393478,659.2451044,118.5956932,90.11664756,38.62142038,0.681247935,0.208876863,618.8327563,503.3827416,3.101435739,2.826457645,97.18087158,97.18087158,1.485414229,0.989448283,0.177167057,0.999507711,206.9647334,1120.276445,178.6032143,1505.844393,2.56088074,833.6247324,2342.030006,3/5/20
3/6/20,15,914561.7378,4077384.887,614444.2227,5606390.847,0,0,1,196.8925574,877.872065,132.2813862,100.4013036,43.02913011,0.916576154,0.281967321,410.4546295,281.9016944,1.376613668,1.16693387,52.53038903,52.53038903,1.453621157,0.815126912,58.23299856,24.95699938,0.479671984,0.147370963,285.7127141,211.1301328,1.239717271,1.101477294,39.98139723,39.98139723,0.862330721,0.522789373,0.034036039,1.624432901,1.213804391,68.88959094,739.5327657,131.604641,106.1823864,45.50673702,0.804693927,0.246850548,685.0409429,549.0198681,3.291796494,2.98863268,105.6919578,105.6919578,1.682210781,1.100233611,0.172843487,0.999459856,228.4460181,1194.083913,188.6774407,1611.207372,2.872273331,940.0269977,2554.106643,3/6/20
3/7/20,16,914518.0626,4077190.17,614414.8797,5606123.112,0,0,1,204.4667932,911.6291625,137.3701027,108.1078623,46.33194098,0.990808191,0.304831486,436.228767,297.8160351,1.424886523,1.195748007,55.42113422,55.42113422,1.558107781,0.867932922,65.31621855,27.99266509,0.541946323,0.166555442,306.8966733,223.2487064,1.260829641,1.111952949,42.13555681,42.13555681,0.946868973,0.564661201,0.041568117,1.775572029,1.387258935,83.67621983,825.2417464,145.3119507,123.5558613,52.95251198,0.938717671,0.288082423,755.5788343,597.3135466,3.488527965,3.154571904,114.6847796,114.6847796,1.893813065,1.218481152,0.161388857,0.999412126,249.7528284,1269.183599,199.0509529,1717.98738,3.20439908,1054.229917,2775.421696,3/7/20
3/8/20,17,914472.3508,4076986.373,614384.1685,5605842.893,0,0,1,212.65671,948.1329703,142.8724617,115.5420027,49.51800115,1.062963969,0.327054354,461.5402588,313.6166033,1.478452448,1.227983628,58.29947634,58.29947634,1.660748819,0.920040289,72.47206895,31.05945812,0.60563874,0.186176137,328.7438651,235.9380907,1.285850717,1.125060553,44.40129089,44.40129089,1.033883967,0.607912424,0.050031223,1.931957475,1.576636621,100.1690855,916.6055363,159.7583032,142.1888762,60.93808979,1.083014385,0.332478344,830.3670434,648.2461122,3.69240673,3.324798499,124.1576379,124.1576379,2.119950789,1.344091389,0.15871276,0.999362171,270.7733641,1344.956165,209.62412,1825.353649,3.558625319,1176.532925,3005.4452,3/8/20
3/9/20,18,914426.6062,4076782.43,614353.4352,5605562.472,0,0,1,219.525376,978.747777,147.4871443,122.6997092,52.58558967,1.13293432,0.348602623,486.2840897,329.2035141,1.536542539,1.262836226,61.14556844,61.14556844,1.761267335,0.97124355,79.65033685,34.13585865,0.670305461,0.206096215,351.0847776,249.0929891,1.314934518,1.140868809,46.75941944,46.75941944,1.122823022,0.652274342,0.059442954,2.094082365,1.782654783,118.3795565,1013.80716,174.9774556,162.0390351,69.44530074,1.237307853,0.379952998,909.3323083,701.7985987,3.904148394,3.499757248,134.1083481,134.1083481,2.360380041,1.476970476,0.149747585,0.99931218,291.429433,1420.920553,220.317584,1932.66757,3.936180102,1307.164172,3243.767922,3/9/20
3/10/20,19,914380.6871,4076577.71,614322.5846,5605280.981,0,0,1,225.4198988,1005.02084,151.4473532,129.4923492,55.4967211,1.199902844,0.369225286,510.0440538,344.2740213,1.597698944,1.298931892,63.90222424,63.90222424,1.858339467,1.020776433,86.79744707,37.19890589,0.735472571,0.226169642,373.7208019,262.5833206,1.348037308,1.159269181,49.18593631,49.18593631,1.213059164,0.697427157,0.069814323,2.262437828,2.006007739,138.3069862,1116.980927,190.9960866,183.0522218,78.45095219,1.401229138,0.430392576,992.3425633,757.9082375,4.124279622,3.679713719,144.5264087,144.5264087,2.6147024,1.616933499,0.142248789,0.999261998,311.5161936,1496.026135,230.9659233,2038.508252,4.338259889,1446.284,3489.130512,3/10/20
3/11/20,20,914332.6806,4076363.682,614290.3316,5604986.695,0,0,1,232.2531561,1035.48012,156.0382466,135.9792687,58.27682946,1.264286931,0.38905103,532.9836551,358.9156938,1.662020697,1.336128516,66.58467443,66.58467443,1.952535368,1.068903808,93.86392381,40.22739592,0.800687962,0.246257145,396.4571662,276.2776039,1.385013193,1.180054469,51.65640115,51.65640115,1.303976466,0.743048473,0.081149032,2.437461745,2.247262822,159.9374391,1226.202735,207.8322341,205.169176,87.92964685,1.57436156,0.483668611,1079.234456,816.4875611,4.353207721,3.864809794,155.3965715,155.3965715,2.882436634,1.763744409,0.141255794,0.999209535,331.047701,1570.197336,241.5506153,2142.795652,4.765873599,1593.972408,3741.533934,3/11/20
3/12/20,21,914282.8736,4076141.628,614256.869,5604681.371,0,0,1,239.6077641,1068.264622,160.9794072,142.2900664,60.98145702,1.327121529,0.408398582,555.5460631,373.4058631,1.730469686,1.374931766,69.24342284,69.24342284,2.045386282,1.116413501,100.8263552,43.21129508,0.865682081,0.266275683,419.1909412,290.1028505,1.425839841,1.203095578,54.1570799,54.1570799,1.395220374,0.788950368,0.093445646,2.619553069,2.50690291,183.2485744,1341.507618,225.497677,228.3508585,97.86465365,1.756422148,0.539693813,1169.912307,877.4908975,4.591452045,4.055241703,166.7111732,166.7111732,3.163297139,1.917266929,0.139626427,0.999155105,350.1766515,1643.980055,252.146976,2246.303682,5.219901626,1750.253869,4001.777453,3/12/20
3/13/20,22,914233.1546,4075919.967,614223.4656,5604376.587,0,0,1,245.6684749,1095.281291,165.0512687,148.4019697,63.60084415,1.388194772,0.427202904,577.5977256,387.6401671,1.802570364,1.414740354,71.85844669,71.85844669,2.136543476,1.16308472,107.6747517,46.14632216,0.930287051,0.286173542,441.8650286,304.0147339,1.470546634,1.228285535,56.6794605,56.6794605,1.486579376,0.835016859,0.106699646,2.809096505,2.785382928,208.2144563,1462.909306,244.0007214,252.5691609,108.2439261,1.947200269,0.598403186,1264.314021,940.8921782,4.839585436,4.251212499,178.4660507,178.4660507,3.457103655,2.077416516,0.133138656,0.99910077,368.855746,1717.033798,262.6970388,2348.586583,5.701179079,1915.124484,4269.412246,3/13/20
3/14/20,23,914181.6322,4075690.264,614188.8505,5604060.747,0,0,1,252.3805178,1125.20241,169.5607248,154.3142807,66.13469171,1.447470843,0.445453122,599.0968219,401.5777262,1.878121434,1.455168626,74.4215758,74.4215758,2.225940462,1.208854113,114.3929096,49.02553269,0.994298313,0.305887745,464.3948157,317.9493752,1.5190604,1.255427267,59.21135868,59.21135868,1.577777567,0.881093748,0.120903725,3.006447709,3.083101126,234.8058743,1590.400307,263.346175,277.7874904,119.0517816,2.146422091,0.659712303,1362.337925,1006.636619,5.098075607,4.452813778,190.6516183,190.6516183,3.763576891,2.244051206,0.132142043,0.999044465,387.0605247,1789.126517,273.1595349,2449.346576,6.21045256,2088.552356,4544.109385,3/14/20
3/15/20,24,914128.2934,4075452.465,614153.0151,5603733.773,0,0,1,259.6487052,1157.603501,174.443824,160.1265711,68.62567331,1.505765342,0.463400385,620.3925047,415.4403209,1.958113805,1.496673474,76.97334513,76.97334513,2.314833176,1.25437073,120.9784269,51.84789724,1.057615372,0.325387366,486.7466072,331.8761585,1.571402781,1.284378663,61.74671699,61.74671699,1.668693143,0.92710689,0.13604816,3.211941076,3.400429231,262.9910604,1723.953807,283.5355421,303.9812852,130.2776937,2.353894869,0.723561714,1463.922472,1074.694178,5.367478428,4.660166394,203.2627763,203.2627763,4.082561185,2.417091691,0.13131971,0.998986175,404.930737,1860.76616,283.6051282,2549.302025,6.748418467,2270.480409,4826.530853,3/15/20
3/16/20,25,914070.4534,4075194.596,614114.1555,5603379.205,0,0,1,269.8405025,1203.039337,181.2911376,166.0610435,71.16901865,1.564941635,0.481618304,642.3097211,429.7686109,2.04505877,1.540731843,79.61338384,79.61338384,2.406112033,1.301159285,127.450576,54.62167543,1.120301938,0.344692028,508.9690215,345.8190523,1.627789085,1.315120442,64.28956832,64.28956832,1.759454245,0.973114187,0.152122952,3.425905397,3.737735873,292.7401431,1863.543152,304.5699093,331.1489876,141.9209947,2.569587399,0.789941702,1569.089357,1145.088622,5.648559763,4.873502202,216.3043049,216.3043049,4.414151079,2.596589413,0.136918204,0.998922966,422.8138675,1933.395106,294.2457441,2650.454718,7.315764222,2460.853205,5118.623686,3/16/20
3/17/20,26,914010.5965,4074927.737,614073.9409,5603012.275,0,0,1,280.1999049,1249.222766,188.2510558,172.2684564,73.82933847,1.626315421,0.500511915,665.4033151,444.9246058,2.140899929,1.588341061,82.40831072,82.40831072,2.501856098,1.35030904,133.8620629,57.36945553,1.182677357,0.363900048,531.2388719,359.8874456,1.688771625,1.347849527,66.8597537,66.8597537,1.850583261,1.019382902,0.16912077,3.648699754,4.095448612,324.0317158,2009.171237,326.454302,359.3283776,153.9978761,2.793749533,0.858929071,1678.007,1217.940118,5.942475102,5.093281381,229.7987591,229.7987591,4.758878937,2.782826995,0.136324448,0.998857552,441.0027181,2008.220101,305.2582601,2754.481079,7.913269136,2659.657254,5422.051602,3/17/20
3/18/20,27,913945.8489,4074639.073,614030.4405,5602615.362,0,0,1,293.3309013,1307.763076,197.0730572,178.8834999,76.66435712,1.691078294,0.520448045,690.1700484,461.2328246,2.247602377,1.640411694,85.41785098,85.41785098,2.603990159,1.40282488,140.2709215,60.1161092,1.245123374,0.383128955,553.7541067,374.2050562,1.755007965,1.382807114,69.47977519,69.47977519,1.942704418,1.066233302,0.18704001,3.880748841,4.474123049,356.8585343,2160.895301,349.2013228,388.5724309,166.5310418,3.026747992,0.930636602,1790.898413,1293.403997,6.250575327,5.320041904,243.7751408,243.7751408,5.117467136,2.976185208,0.141905971,0.998786794,459.7746664,2086.387865,316.8110051,2862.973537,8.5419119,2866.955158,5738.470606,3/18/20
3/19/20,28,913873.1,4074314.737,613981.5645,5602169.402,0,0,1,311.6272385,1389.332246,209.3653697,186.3065775,79.84567609,1.762674254,0.542486747,718.1295811,479.7007209,2.370539902,1.699986882,88.82816383,88.82816383,2.717976997,1.461595066,146.7685834,62.90082147,1.308283131,0.402576734,576.8416628,388.9818697,1.827556008,1.420467738,72.18811123,72.18811123,2.036855177,1.114204661,0.205885546,4.12256179,4.874478685,391.2292101,2318.835638,372.8324824,418.9785679,179.5622434,3.269272529,1.005276513,1908.154156,1371.746284,6.574718158,5.554597863,258.2828876,258.2828876,5.491152161,3.177316026,0.153320302,0.998707292,479.8376794,2170.972385,329.363182,2980.173246,9.20292602,3082.897331,6072.273503,3/19/20
3/20/20,29,913798.2599,4073981.078,613931.2835,5601710.621,0,0,1,328.8267109,1466.01148,220.9207585,194.629038,83.41244484,1.842031865,0.566913875,749.6176668,500.5473474,2.511801039,1.767774737,92.67950757,92.67950757,2.84543382,1.52745359,153.4827877,65.7783376,1.373093173,0.422531675,600.969128,404.5220831,1.907955224,1.461575648,75.0406924,75.0406924,2.134542768,1.164085091,0.225674892,4.374803536,5.297521496,427.1805513,2483.230377,397.3863065,450.700153,193.1572084,3.522426592,1.083188354,2030.376847,1453.37351,6.917438855,5.798126492,273.3973931,273.3973931,5.881833464,3.387221055,0.15138622,0.998625505,501.5071787,2263.305332,343.1119152,3107.924426,9.897999924,3307.797235,6425.61966,3/20/20
3/21/20,30,913718.5597,4073625.751,613877.7373,5601222.048,0,0,1,347.6451152,1549.908564,233.5638194,203.7509809,87.32184894,1.928448758,0.593513311,784.2380711,523.504504,2.671298857,1.84297334,96.92197552,96.92197552,2.985482112,1.599905789,160.5059911,68.7882819,1.440276254,0.443216274,626.4700586,421.0410295,1.997526052,1.506672505,78.07701706,78.07701706,2.236961278,1.216494167,0.246438054,4.638300445,5.744564202,464.7762034,2654.429891,422.9175121,483.8739541,207.3745518,3.787218686,1.164682462,2158.103081,1538.647445,7.28125718,6.051694512,289.1857206,289.1857206,6.291290542,3.606834052,0.154486862,0.998538406,524.7725574,2363.272134,358.0368285,3246.08152,10.6293027,3542.123606,6798.834429,3/21/20
